Unnamed: 0,POLYMER SMILES,DP,lamellar,cylinder,sphere,gyroid,disordered
20,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,118.6316159,1,0,0,0,1
21,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,144.6946224,1,0,0,0,1
22,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,161.8878504,1,0,0,0,1
23,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,200.5610591,1,0,0,0,0
24,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,171.7185017,1,0,0,0,1
25,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,180.6762526,1,0,0,0,1
26,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,224.7217072,1,0,0,0,1
27,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,252.5871989,1,0,0,0,1
28,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,187.9013971,0,0,0,0,1
29,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,203.2221649,1,0,0,0,1
30,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,117.7541746,0,0,0,0,1
31,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,130.3622133,0,0,0,0,1
32,<polymer_spg>C1CCC(C(C[*:1])[*:2])CC1;C(C[*:3])[*:4];CCC(C[*:5])[*:6];2->1;2->3;4->3;4->5;6->5,279.5032769,1,0,0,0,1
33,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,103.9162769,0,0,1,0,0
34,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,120.8837934,0,0,1,0,0
35,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,142.4334173,0,0,1,0,0
36,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,161.6821839,0,0,1,0,0
37,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,142.4334173,0,0,1,0,0
38,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,142.4334173,0,1,1,0,0
39,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,142.4334173,0,1,1,0,0
40,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,161.6821839,0,0,1,0,0
41,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,161.6821839,0,1,1,0,0
42,<polymer_spg>CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(OCCCC)cc3)c(C(C[*:1])[*:2])c2)cc1;C[Si](C)(O[*:3])[*:4];2->1;2->3;4->3,161.6821839,0,1,0,0,0
43,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
44,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
45,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
46,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
47,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
48,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
49,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,0
50,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,1,0,0,1
51,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,272.6996337,0,0,0,0,1
52,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,1,0,0,0
53,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,1,0,0,0
54,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,1,0,0,0
55,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,1,0,0,1
56,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,0,0,0,1
57,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,0,0,0,1
58,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,0,0,0,1
59,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,0,0,0,1
60,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,190.6166587,0,0,0,0,1
61,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,317.9930876,1,0,0,0,0
62,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,317.9930876,0,0,0,0,1
63,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,317.9930876,0,0,0,0,1
64,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,317.9930876,0,0,0,0,1
65,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCC(CC)COC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,317.9930876,0,0,0,0,1
66,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,748.0316154,0,0,0,0,1
67,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,581.22711,0,0,0,0,1
68,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,971.8390703,1,0,0,0,0
69,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,1002.598377,1,0,0,0,0
70,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,827.3779681,1,0,0,0,0
71,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,815.2385437,0,0,0,0,1
72,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,991.0880266,0,0,0,0,1
73,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,931.9854212,0,0,0,0,1
74,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,624.6319665,0,0,0,0,1
75,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,815.2385437,0,0,0,0,1
76,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,1137.962606,1,0,0,0,0
77,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,2363.460797,1,0,0,0,0
78,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,2757.37093,1,0,0,0,0
79,<polymer_spg>c1ccc(C(C[*:1])[*:2])cc1;CCCCOC(=O)C(C)(C[*:3])[*:4];2->1;2->3;4->3,3902.737709,1,0,0,0,0
80,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,462.54998,1,0,0,0,0
81,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,462.54998,1,0,0,0,0
82,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,462.54998,1,0,0,0,0
83,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,462.54998,1,0,0,0,0
84,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,211.4476307,1,0,0,0,0
85,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,211.4476307,1,0,0,0,0
86,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,211.4476307,1,0,0,0,0
87,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,211.4476307,1,0,0,0,0
88,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
89,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
90,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
91,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
92,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
93,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,245.7701326,1,0,0,0,0
94,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,497.0257248,1,0,0,0,0
95,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,497.0257248,1,0,0,0,0
96,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,497.0257248,1,0,0,0,0
97,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,497.0257248,1,0,0,0,0
98,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
99,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
100,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
101,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
102,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
103,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
104,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,343.7333931,1,0,0,0,0
105,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
106,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
107,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
108,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
109,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
110,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,503.8390202,1,0,0,0,0
111,<polymer_spg>C(C[*:1])O[*:2];CC(=CC[*:3])C[*:4];CC(=CC[*:5])C[*:6];C=C(C)C(C[*:7])[*:8];C=CC(C)(C[*:9])[*:10];2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,32.03420972,0,0,0,0,1
112,<polymer_spg>C(C[*:1])O[*:2];C(=CC[*:3])C[*:4];C(=CC[*:5])C[*:6];C=CC(C[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,282.1027923,0,1,0,0,0
113,<polymer_spg>C(C[*:1])O[*:2];C(=CC[*:3])C[*:4];C(=CC[*:5])C[*:6];C=CC(C[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,319.7272656,1,0,0,0,0
114,<polymer_spg>C(C[*:1])O[*:2];C(=CC[*:3])C[*:4];C(=CC[*:5])C[*:6];C=CC(C[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,495.867945,0,1,0,0,0
115,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,211.2632966,0,0,0,0,1
116,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,227.0833145,0,0,1,0,0
117,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,163.2636552,0,0,1,0,0
118,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,205.0539092,0,1,0,0,0
119,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,130.2752878,0,1,0,0,0
120,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,151.3852164,0,1,0,0,0
121,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,87.36947478,1,0,0,0,0
122,<polymer_spg>C(=CC[*:1])C[*:2];C(=CC[*:3])C[*:4];C=CC(C[*:5])[*:6];C[Si](C)(O[*:7])[*:8];2->1;2->3;4->3;4->5;6->5;6->7;8->7,130.7729798,1,0,0,0,0
123,<polymer_spg>CC(=CC[*:1])C[*:2];CC(=CC[*:3])C[*:4];C=C(C)C(C[*:5])[*:6];C=CC(C)(C[*:7])[*:8];c1ccc(C(C[*:9])[*:10])cc1;2->1;2->3;4->3;4->5;6->5;6->7;8->7;8->9;10->9,331.1839214,1,0,0,0,1
