material_id,POLYMER SMILES,smiles,components,property_name,value,unit,tags,mol_fraction_a,mol_fraction_b,mol_fraction_c,dataset,int_docid,lh_created_at
ce6a07aa,<polymer_spg>[*:1]c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*:2])C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1;2->1,*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,['*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1'],temp_glass,733.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-8.95979e+18,2025-07-16 23:26:10.120091+00:00
ba43af18,<polymer_spg>[*:1]c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N([*:2])C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1;2->1,*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,['*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1'],temp_glass,585.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-8.87733e+18,2025-07-16 23:26:10.120091+00:00
2e9a3f7b,<polymer_spg>[*:1]c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n([*:2])c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1;2->1,*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,['*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1'],temp_glass,586.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,7.17508e+18,2025-07-16 23:26:10.120091+00:00
675faca3,<polymer_spg>[*:1]c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N([*:2])C8=O)cc6C5=O)c4)cc3)cc2)c1;2->1,*c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)c4)cc3)cc2)c1,['*c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)c4)cc3)cc2)c1'],temp_glass,514.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,8.68223e+18,2025-07-16 23:26:10.120091+00:00
9568a158,<polymer_spg>[*:1]c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*:2])C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1;2->1,*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1,['*c1ccc(-c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(C(F)(F)F)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2C(F)(F)F)c(C(F)(F)F)c1'],temp_glass,693.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-2.83409e+18,2025-07-16 23:26:10.120091+00:00
dcefd928,<polymer_spg>[*:1]c1ccc(C2(c3ccc(-n4c(=O)c5cc6c(=O)n([*:2])c(=O)c6cc5c4=O)cc3)c3ccccc3-c3ccccc32)cc1;2->1,*c1ccc(C2(c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c3ccccc3-c3ccccc32)cc1,['*c1ccc(C2(c3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c3ccccc3-c3ccccc32)cc1'],temp_glass,773.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-6.79702e+18,2025-07-16 23:26:10.120091+00:00
616dc102,<polymer_spg>[*:1]c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N([*:2])C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)cc3)cc2)c1;2->1,*c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)cc3)cc2)c1,['*c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4cccc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(*)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c4)cc3)cc2)c1'],temp_glass,512.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-6.12007e+18,2025-07-16 23:26:10.120091+00:00
60cb4936,<polymer_spg>[*:1]c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(c3ccccc3)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N([*:2])C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1;2->1,*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(c3ccccc3)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,['*c1ccc(C(c2ccc(N3C(=O)c4cc5c(cc4C3=O)C(c3ccccc3)(C(F)(F)F)c3cc4c(cc3O5)C(=O)N(*)C4=O)cc2)(C(F)(F)F)C(F)(F)F)cc1'],temp_glass,709.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,2.09488e+18,2025-07-16 23:26:10.120091+00:00
6fa09e85,<polymer_spg>[*:1]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*:2])c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1;2->1,*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,['*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1'],temp_glass,723.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,3.3735e+18,2025-07-16 23:26:10.120091+00:00
e49b65ed,<polymer_spg>[*:1]C1CCC(CC2CCC(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N([*:2])C6=O)cc4C3=O)CC2)CC1;2->1,*C1CCC(CC2CCC(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)CC2)CC1,['*C1CCC(CC2CCC(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)CC2)CC1'],temp_glass,493.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,8.81388e+18,2025-07-16 23:26:10.120091+00:00
c5d86fe1,<polymer_spg>[*:1]C1CCC(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N([*:2])C5=O)cc3C2=O)CC1;2->1,*C1CCC(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,['*C1CCC(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1'],temp_glass,633.15,K,"alternating,polyimide",1.0,,,cmdl_ibm_polyimide_tg_2024,-5.92242e+18,2025-07-16 23:26:10.120091+00:00
