Unnamed: 0,FORMULATION,Specific Capacity,FORMULATION_CANONICAL_SMILES,FORMULATION_MOLECULAR_FORMULA,FORMULATION_IUPAC_NAME,FORMULATION_INCHI,FORMULATION_SELFIES
18,<formulation_start>COCCC#N<sep>56.0<sep>COCCOC<sep>42.0<sep>CC(=O)N(C)C<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,123.96,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>COCCOC<sep>42.0<sep><smiles>CC(=O)N(C)C<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C4H10O2<sep>42.0<sep><formula>C4H9NO<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>1,2-dimethoxyethane<sep>42.0<sep><iupac>N,N-dimethylacetamide<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3<sep>42.0<sep><inchi>InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][O][C][C][O][C]<sep>42.0<sep><selfies>[C][C][=Branch1][C][=O][N][Branch1][C][C][C]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
63,<formulation_start>COCCC#N<sep>56.0<sep>COc1ccco1<sep>42.0<sep>C1CCC(=O)OCC1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,29.3693,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>COc1ccco1<sep>42.0<sep><smiles>O=C1CCCCCO1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C5H6O2<sep>42.0<sep><formula>C6H10O2<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>2-methoxyfuran<sep>42.0<sep><iupac>oxepan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>,"<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C5H6O2/c1-6-5-3-2-4-7-5/h2-4H,1H3<sep>42.0<sep><inchi>InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][O][C][=C][C][=C][O][Ring1][Branch1]<sep>42.0<sep><selfies>[O][=C][C][C][C][C][C][O][Ring1][#Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
52,<formulation_start>COCCC#N<sep>56.0<sep>CC(C)CC(C)=O<sep>42.0<sep>C1CCC(=O)OCC1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,0,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>CC(=O)CC(C)C<sep>42.0<sep><smiles>O=C1CCCCCO1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C6H12O<sep>42.0<sep><formula>C6H10O2<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>4-methylpentan-2-one<sep>42.0<sep><iupac>oxepan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>,"<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3<sep>42.0<sep><inchi>InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][C][=Branch1][C][=O][C][C][Branch1][C][C][C]<sep>42.0<sep><selfies>[O][=C][C][C][C][C][C][O][Ring1][#Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
78,<formulation_start>C1COCO1<sep>56.0<sep>CC(=O)CC(C)=O<sep>38.0<sep>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,0,<formulation_start><smiles>C1COCO1<sep>56.0<sep><smiles>CC(=O)CC(C)=O<sep>38.0<sep><smiles>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C3H6O2<sep>56.0<sep><formula>C5H8O2<sep>38.0<sep><formula>C2F6LiNO4S2<sep>4.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>1,3-dioxolane<sep>56.0<sep><iupac>pentane-2,4-dione<sep>38.0<sep><iupac>lithium;bis(trifluoromethylsulfonyl)azanide<sep>4.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2<sep>56.0<sep><inchi>InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3<sep>38.0<sep><inchi>InChI=1S/C2F6NO4S2.Li/c3-1(4,5)14(10,11)9-15(12,13)2(6,7)8;/q-1;+1<sep>4.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][C][O][C][O][Ring1][Branch1]<sep>56.0<sep><selfies>[C][C][=Branch1][C][=O][C][C][Branch1][C][C][=O]<sep>38.0<sep><selfies>[Li][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F]<sep>4.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
82,<formulation_start>C1COCO1<sep>56.0<sep>COCCOC<sep>38.0<sep>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,150,<formulation_start><smiles>C1COCO1<sep>56.0<sep><smiles>COCCOC<sep>38.0<sep><smiles>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C3H6O2<sep>56.0<sep><formula>C4H10O2<sep>38.0<sep><formula>C2F6LiNO4S2<sep>4.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>1,3-dioxolane<sep>56.0<sep><iupac>1,2-dimethoxyethane<sep>38.0<sep><iupac>lithium;bis(trifluoromethylsulfonyl)azanide<sep>4.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2<sep>56.0<sep><inchi>InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3<sep>38.0<sep><inchi>InChI=1S/C2F6NO4S2.Li/c3-1(4,5)14(10,11)9-15(12,13)2(6,7)8;/q-1;+1<sep>4.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][C][O][C][O][Ring1][Branch1]<sep>56.0<sep><selfies>[C][O][C][C][O][C]<sep>38.0<sep><selfies>[Li][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F]<sep>4.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
85,<formulation_start>C1COCO1<sep>67.97<sep>COCCOCCOCCOCCOC<sep>21.57<sep>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.5<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<sep>[Li+].O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2<sep>3.8<formulation_end>,115,<formulation_start><smiles>C1COCO1<sep>67.97<sep><smiles>COCCOCCOCCOCCOC<sep>21.57<sep><smiles>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.5<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<sep><smiles>O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>3.8<formulation_end>,<formulation_start><formula>C3H6O2<sep>67.97<sep><formula>C10H22O5<sep>21.57<sep><formula>C2F6LiNO4S2<sep>4.5<sep><formula>LiNO3<sep>2.0<sep><formula>C4BLiO8<sep>3.8<formulation_end>,"<formulation_start><iupac>1,3-dioxolane<sep>67.97<sep><iupac>1-methoxy-2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethane<sep>21.57<sep><iupac>lithium;bis(trifluoromethylsulfonyl)azanide<sep>4.5<sep><iupac>lithium;nitrate<sep>2.0<sep><iupac>lithium;1,4,6,9-tetraoxa-5-boranuidaspiro[4.4]nonane-2,3,7,8-tetrone<sep>3.8<formulation_end>","<formulation_start><inchi>InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2<sep>67.97<sep><inchi>InChI=1S/C10H22O5/c1-11-3-5-13-7-9-15-10-8-14-6-4-12-2/h3-10H2,1-2H3<sep>21.57<sep><inchi>InChI=1S/C2F6NO4S2.Li/c3-1(4,5)14(10,11)9-15(12,13)2(6,7)8;/q-1;+1<sep>4.5<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<sep><inchi>InChI=1S/C4BO8.Li/c6-1-2(7)11-5(10-1)12-3(8)4(9)13-5;/q-1;+1<sep>3.8<formulation_end>",<formulation_start><selfies>[C][C][O][C][O][Ring1][Branch1]<sep>67.97<sep><selfies>[C][O][C][C][O][C][C][O][C][C][O][C][C][O][C]<sep>21.57<sep><selfies>[Li][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F]<sep>4.5<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<sep><selfies>[O][=C][O][B-1][Branch1][=Branch1][O][C][Ring1][Branch1][=O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O][Ring1][#Branch2].[Li+1]<sep>3.8<formulation_end>
110,<formulation_start>C1COCO1<sep>60.06<sep>COCCOCCOC<sep>26.36<sep>O=C(OCC)C<sep>4.28<sep>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.19<sep>[Li+].O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2<sep>3.35<sep>[Li+].[N+](=O)([O-])[O-]<sep>1.76<formulation_end>,123,<formulation_start><smiles>C1COCO1<sep>60.06<sep><smiles>COCCOCCOC<sep>26.36<sep><smiles>CCOC(C)=O<sep>4.28<sep><smiles>[Li]N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F<sep>4.19<sep><smiles>O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>3.35<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>1.76<formulation_end>,<formulation_start><formula>C3H6O2<sep>60.06<sep><formula>C6H14O3<sep>26.36<sep><formula>C4H8O2<sep>4.28<sep><formula>C2F6LiNO4S2<sep>4.19<sep><formula>C4BLiO8<sep>3.35<sep><formula>LiNO3<sep>1.76<formulation_end>,"<formulation_start><iupac>1,3-dioxolane<sep>60.06<sep><iupac>1-methoxy-2-(2-methoxyethoxy)ethane<sep>26.36<sep><iupac>ethyl acetate<sep>4.28<sep><iupac>lithium;bis(trifluoromethylsulfonyl)azanide<sep>4.19<sep><iupac>lithium;1,4,6,9-tetraoxa-5-boranuidaspiro[4.4]nonane-2,3,7,8-tetrone<sep>3.35<sep><iupac>lithium;nitrate<sep>1.76<formulation_end>","<formulation_start><inchi>InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2<sep>60.06<sep><inchi>InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3<sep>26.36<sep><inchi>InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3<sep>4.28<sep><inchi>InChI=1S/C2F6NO4S2.Li/c3-1(4,5)14(10,11)9-15(12,13)2(6,7)8;/q-1;+1<sep>4.19<sep><inchi>InChI=1S/C4BO8.Li/c6-1-2(7)11-5(10-1)12-3(8)4(9)13-5;/q-1;+1<sep>3.35<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>1.76<formulation_end>",<formulation_start><selfies>[C][C][O][C][O][Ring1][Branch1]<sep>60.06<sep><selfies>[C][O][C][C][O][C][C][O][C]<sep>26.36<sep><selfies>[C][C][O][C][Branch1][C][C][=O]<sep>4.28<sep><selfies>[Li][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F]<sep>4.19<sep><selfies>[O][=C][O][B-1][Branch1][=Branch1][O][C][Ring1][Branch1][=O][O][C][=Branch1][C][=O][C][=Branch1][C][=O][O][Ring1][#Branch2].[Li+1]<sep>3.35<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>1.76<formulation_end>
1,<formulation_start>COCCC#N<sep>56.0<sep>COCCOCCOCCOC<sep>42.0<sep>O=C1N(C)CCCN1C<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,70.36,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>COCCOCCOCCOC<sep>42.0<sep><smiles>CN1CCCN(C)C1=O<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C8H18O4<sep>42.0<sep><formula>C6H12N2O<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane<sep>42.0<sep><iupac>1,3-dimethyl-1,3-diazinan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C8H18O4/c1-9-3-5-11-7-8-12-6-4-10-2/h3-8H2,1-2H3<sep>42.0<sep><inchi>InChI=1S/C6H12N2O/c1-7-4-3-5-8(2)6(7)9/h3-5H2,1-2H3<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][O][C][C][O][C][C][O][C][C][O][C]<sep>42.0<sep><selfies>[C][N][C][C][C][N][Branch1][C][C][C][Ring1][#Branch1][=O]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
66,<formulation_start>COCCC#N<sep>56.0<sep>CN(C(=O)C(F)(F)F)[Si](C)(C)C<sep>42.0<sep>C1CCC(=O)OCC1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,47.2583,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>CN(C(=O)C(F)(F)F)[Si](C)(C)C<sep>42.0<sep><smiles>O=C1CCCCCO1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C6H12F3NOSi<sep>42.0<sep><formula>C6H10O2<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>2,2,2-trifluoro-N-methyl-N-trimethylsilylacetamide<sep>42.0<sep><iupac>oxepan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C6H12F3NOSi/c1-10(12(2,3)4)5(11)6(7,8)9/h1-4H3<sep>42.0<sep><inchi>InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][N][Branch1][=N][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][Si][Branch1][C][C][Branch1][C][C][C]<sep>42.0<sep><selfies>[O][=C][C][C][C][C][C][O][Ring1][#Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
42,<formulation_start>COCCC#N<sep>56.0<sep>CC(=O)C#N<sep>42.0<sep>C1CCC(=O)OCC1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,24.8733,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>CC(=O)C#N<sep>42.0<sep><smiles>O=C1CCCCCO1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C3H3NO<sep>42.0<sep><formula>C6H10O2<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>acetyl cyanide<sep>42.0<sep><iupac>oxepan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>,"<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C3H3NO/c1-3(5)2-4/h1H3<sep>42.0<sep><inchi>InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][C][=Branch1][C][=O][C][#N]<sep>42.0<sep><selfies>[O][=C][C][C][C][C][C][O][Ring1][#Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
41,<formulation_start>COCCC#N<sep>56.0<sep>CCc1cccnc1<sep>42.0<sep>C1CCC(=O)OCC1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,40.8243,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>CCc1cccnc1<sep>42.0<sep><smiles>O=C1CCCCCO1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C7H9N<sep>42.0<sep><formula>C6H10O2<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>3-ethylpyridine<sep>42.0<sep><iupac>oxepan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>,"<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C7H9N/c1-2-7-4-3-5-8-6-7/h3-6H,2H2,1H3<sep>42.0<sep><inchi>InChI=1S/C6H10O2/c7-6-4-2-1-3-5-8-6/h1-5H2<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][C][C][=C][C][=C][N][=C][Ring1][=Branch1]<sep>42.0<sep><selfies>[O][=C][C][C][C][C][C][O][Ring1][#Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
4,<formulation_start>COCCC#N<sep>56.0<sep>CC=CC#N<sep>42.0<sep>O=C1N(C)CCCN1C<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,88.3,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>CC=CC#N<sep>42.0<sep><smiles>CN1CCCN(C)C1=O<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C4H5N<sep>42.0<sep><formula>C6H12N2O<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>but-2-enenitrile<sep>42.0<sep><iupac>1,3-dimethyl-1,3-diazinan-2-one<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C4H5N/c1-2-3-4-5/h2-3H,1H3<sep>42.0<sep><inchi>InChI=1S/C6H12N2O/c1-7-4-3-5-8(2)6(7)9/h3-5H2,1-2H3<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][C][=C][C][#N]<sep>42.0<sep><selfies>[C][N][C][C][C][N][Branch1][C][C][C][Ring1][#Branch1][=O]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
15,<formulation_start>COCCC#N<sep>56.0<sep>COc1ccccc1<sep>42.0<sep>C1=CC=NC=C1<sep>0.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,101.119,<formulation_start><smiles>COCCC#N<sep>56.0<sep><smiles>COc1ccccc1<sep>42.0<sep><smiles>c1ccncc1<sep>0.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>56.0<sep><formula>C7H8O<sep>42.0<sep><formula>C5H5N<sep>0.0<sep><formula>LiNO3<sep>2.0<formulation_end>,<formulation_start><iupac>3-methoxypropanenitrile<sep>56.0<sep><iupac>anisole<sep>42.0<sep><iupac>pyridine<sep>0.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>,"<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>56.0<sep><inchi>InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3<sep>42.0<sep><inchi>InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H<sep>0.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>56.0<sep><selfies>[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]<sep>42.0<sep><selfies>[C][=C][C][=N][C][=C][Ring1][=Branch1]<sep>0.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
17,<formulation_start>COCCC#N<sep>47.0<sep>COCCOC<sep>41.0<sep>CC(=O)N(C)C<sep>10.0<sep>[Li+].[N+](=O)([O-])[O-]<sep>2.0<formulation_end>,130.67536,<formulation_start><smiles>COCCC#N<sep>47.0<sep><smiles>COCCOC<sep>41.0<sep><smiles>CC(=O)N(C)C<sep>10.0<sep><smiles>O=[N+]([O-])[O-].[Li+]<sep>2.0<formulation_end>,<formulation_start><formula>C4H7NO<sep>47.0<sep><formula>C4H10O2<sep>41.0<sep><formula>C4H9NO<sep>10.0<sep><formula>LiNO3<sep>2.0<formulation_end>,"<formulation_start><iupac>3-methoxypropanenitrile<sep>47.0<sep><iupac>1,2-dimethoxyethane<sep>41.0<sep><iupac>N,N-dimethylacetamide<sep>10.0<sep><iupac>lithium;nitrate<sep>2.0<formulation_end>","<formulation_start><inchi>InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3<sep>47.0<sep><inchi>InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3<sep>41.0<sep><inchi>InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3<sep>10.0<sep><inchi>InChI=1S/Li.NO3/c;2-1(3)4/q+1;-1<sep>2.0<formulation_end>",<formulation_start><selfies>[C][O][C][C][C][#N]<sep>47.0<sep><selfies>[C][O][C][C][O][C]<sep>41.0<sep><selfies>[C][C][=Branch1][C][=O][N][Branch1][C][C][C]<sep>10.0<sep><selfies>[O][=N+1][Branch1][C][O-1][O-1].[Li+1]<sep>2.0<formulation_end>
